Diagnostico_transcrito,Diagnostico_estandar,Diagnostico_extendido,Freq,Npartes,Nfalta,IDs,Diagnostico_clasificacion
N InEPul,InfPul+N,infarto pulmon + neumonia,1,2,0,BO_1974_02674,Enfermedades del sistema respiratorio
TM+Inf.Pul,InfPul+TM,infarto pulmon + traumatismo multiple,1,2,0,BO_1977_05377,Enfermedades del sistema respiratorio + Trauma
TMI+InfPul,InfPul+TMi,infarto pulmon + traumatismo miembro,1,2,0,BO_1976_01903,Enfermedades del sistema respiratorio + Trauma
TMI+Inf Pul,InfPul+TMi,infarto pulmon + traumatismo miembro,1,2,0,BO_1977_04780,Enfermedades del sistema respiratorio + Trauma
Inf Pulm TromboFlobT,InfPul+Trombo,infarto pulmon + trombosis,1,3,1,BO_1975_00059,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
Insuf Resp,Insuf,insuficiencia,2,2,1,"BO_1975_06690,BO_1977_00554",
Insuf Circulatoria Periferica LOC+Trombosis,Insuf+LOC+Trombo,enfermedad organica del corazon + insuficiencia + trombosis,1,5,2,BO_1974_03814,Enfermedades del sistema circulatorio
insufisiencia renal,Insuf+Renal,insuficiencia + renal,1,2,0,BO_1978_05356,
Insuf. Renal,Insuf+Renal,insuficiencia + renal,1,2,0,BO_1977_00607,
Ins Renal,Insuf+Renal,insuficiencia + renal,1,2,0,BO_1974_02894,
Ins renal,Insuf+Renal,insuficiencia + renal,1,2,0,BO_1978_04722,
Insuf Renal,Insuf+Renal,insuficiencia + renal,1,2,0,BO_1977_04513,
Insuf. Vasc.,Insuf+Vascu,insuficiencia + vascular,1,2,0,BO_1976_06906,
Estrangulacion de Asas Intest,Intes,intestino,1,2,1,BO_1975_01916,
LOC+Necrosis INT Del,Intes+LOC+Necro,enfermedad organica del corazon + intestino + necrosis,1,3,0,BO_1978_04883,Enfermedades de la piel y del tejido subcutáneo + Enfermedades del sistema circulatorio
OCLU INT,Intes+Oclusion,intestino + oclusion,1,2,0,BO_1979_04991,Enfermedades del sistema circulatorio
Oclusion InTest,Intes+Oclusion,intestino + oclusion,1,2,0,BO_1976_00838,Enfermedades del sistema circulatorio
Oclusion Intestinal,Intes+Oclusion,intestino + oclusion,1,2,0,BO_1977_03208,Enfermedades del sistema circulatorio
Octucion int,Intes+Oclusion,intestino + oclusion,1,2,0,BO_1974_00306,Enfermedades del sistema circulatorio
Oclusion intestinal,Intes+Oclusion,intestino + oclusion,1,2,0,BO_1977_05182,Enfermedades del sistema circulatorio
Oclusion Intestinal + Par,Intes+Oclusion,intestino + oclusion,1,2,0,BO_1976_01355,Enfermedades del sistema circulatorio
Per Oclu Int,Intes+Oclusion+PER,intestino + oclusion + peritonitis o perforacion,1,3,0,BO_1979_06619,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo
Ulcera Int+Per,Intes+PER+Ulcera,intestino + peritonitis o perforacion + ulcera,1,3,0,BO_1978_01841,Enfermedades del sistema digestivo
PerfInt+Per,Intes+Perf,intestino + perforacion,1,2,0,BO_1978_02951,Causas externas de morbilidad y de mortalidad
Perf Int,Intes+Perf,intestino + perforacion,1,2,0,BO_1979_06795,Causas externas de morbilidad y de mortalidad
Perf Int + P,Intes+Perf,intestino + perforacion,1,2,0,BO_1979_04302,Causas externas de morbilidad y de mortalidad
Perf Intest,Intes+Perf,intestino + perforacion,1,2,0,BO_1977_02376,Causas externas de morbilidad y de mortalidad
Perf. Intestin,Intes+Perf,intestino + perforacion,1,2,0,BO_1976_06218,Causas externas de morbilidad y de mortalidad
Perf asa intest no T+Per,Intes+Perf,intestino + perforacion,1,2,0,BO_1975_00953,Causas externas de morbilidad y de mortalidad
Intox,Intox,intoxicacion,12,1,0,"BO_1976_03462,BO_1976_04223,BO_1977_00816,BO_1977_01950,BO_1977_02057",Causas externas de morbilidad y de mortalidad
InTox,Intox,intoxicacion,6,1,0,"BO_1978_00639,BO_1978_01460,BO_1978_02318,BO_1978_02350,BO_1978_02773",Causas externas de morbilidad y de mortalidad
Intoxicacion,Intox,intoxicacion,6,1,0,"BO_1975_04560,BO_1975_04561,BO_1977_02516,BO_1977_05505,BO_1978_01789",Causas externas de morbilidad y de mortalidad
Intox Es,Intox,intoxicacion,2,2,1,"BO_1976_05264,BO_1977_00580",Causas externas de morbilidad y de mortalidad
Intox Quim,Intox,intoxicacion,2,2,1,"BO_1977_02278,BO_1979_05200",Causas externas de morbilidad y de mortalidad
Intox.Sosa,Intox,intoxicacion,1,2,1,BO_1979_03769,Causas externas de morbilidad y de mortalidad
Intoxicacion Acido muriatico,Intox,intoxicacion,1,2,1,BO_1978_00807,Causas externas de morbilidad y de mortalidad
Intox Penicilina,Intox,intoxicacion,1,2,1,BO_1978_04357,Causas externas de morbilidad y de mortalidad
Intox x Substancias Medicamentosas,Intox,intoxicacion,1,2,1,BO_1975_02922,Causas externas de morbilidad y de mortalidad
Intoxi SubsToxi,Intox,intoxicacion,1,2,1,BO_1979_01040,Causas externas de morbilidad y de mortalidad
Intoxicacion con DDT,Intox,intoxicacion,1,2,1,BO_1978_00219,Causas externas de morbilidad y de mortalidad
Intoxicacion corosiva,Intox,intoxicacion,1,2,1,BO_1978_04488,Causas externas de morbilidad y de mortalidad
Intox Inhalantes,Intox,intoxicacion,1,2,1,BO_1977_02298,Causas externas de morbilidad y de mortalidad
Intox Barbi,Intox,intoxicacion,1,2,1,BO_1975_01143,Causas externas de morbilidad y de mortalidad
Intox Cemento,Intox,intoxicacion,1,2,1,BO_1979_05258,Causas externas de morbilidad y de mortalidad
I ACIDO MURIATICO,Intox,intoxicacion,1,2,1,BO_1974_04262,Causas externas de morbilidad y de mortalidad
InToxicacion,Intox,intoxicacion,1,1,0,BO_1978_01987,Causas externas de morbilidad y de mortalidad
InToxicacion +,Intox,intoxicacion,1,1,0,BO_1978_01788,Causas externas de morbilidad y de mortalidad
CVTC+Intox Marihuana y Coment,Intox,intoxicacion,1,3,2,BO_1976_01559,Causas externas de morbilidad y de mortalidad
Drogadicto Intox Inhalacion,Intox,intoxicacion,1,3,2,BO_1974_00622,Causas externas de morbilidad y de mortalidad
Gas Domestico Intox por MO,Intox,intoxicacion,1,3,2,BO_1976_01102,Causas externas de morbilidad y de mortalidad
Intox+EOC,Intox+LOC,enfermedad organica del corazon + intoxicacion,1,2,0,BO_1979_01230,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
N+Intox,Intox+N,intoxicacion + neumonia,1,2,0,BO_1978_03842,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Intox+Per,Intox+PER,intoxicacion + peritonitis o perforacion,1,2,0,BO_1976_00427,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
Intox+PerfIntestinal,Intox+Perf,intoxicacion + perforacion,1,3,1,BO_1976_03822,Causas externas de morbilidad y de mortalidad
IntoxSustancia+PN,Intox+PN,intoxicacion + pleuro pneumonia,1,3,1,BO_1976_03163,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Itox Intox Q,Intox+Quem,intoxicacion + quemaduras,1,2,0,BO_1978_00380,Causas externas de morbilidad y de mortalidad
IntoxRaticida,Intox+Raticida,intoxicacion + raticida,1,2,0,BO_1979_00512,Causas externas de morbilidad y de mortalidad
Intox por Raticida,Intox+Raticida,intoxicacion + raticida,1,2,0,BO_1978_00595,Causas externas de morbilidad y de mortalidad
Intox por Raticida ingeri,Intox+Raticida,intoxicacion + raticida,1,3,1,BO_1975_03636,Causas externas de morbilidad y de mortalidad
Intoxicacion raticida,Intox+Raticida,intoxicacion + raticida,1,2,0,BO_1979_00176,Causas externas de morbilidad y de mortalidad
InToxicacion c/RATICIDA,Intox+Raticida,intoxicacion + raticida,1,2,0,BO_1978_03162,Causas externas de morbilidad y de mortalidad
InTox con RaTicidA,Intox+Raticida,intoxicacion + raticida,1,2,0,BO_1978_02237,Causas externas de morbilidad y de mortalidad
InTox x RATICIDA,Intox+Raticida,intoxicacion + raticida,1,2,0,BO_1978_02389,Causas externas de morbilidad y de mortalidad
ECEP+IntocRaticida,Intox+Raticida,intoxicacion + raticida,1,3,1,BO_1975_04304,Causas externas de morbilidad y de mortalidad
InTox+S,Intox+Septi,intoxicacion + septicemia,1,2,0,BO_1978_01686,Causas externas de morbilidad y de mortalidad + Ciertas enfermedades infecciosas y parasitarias
TB+INTOX,Intox+TB,intoxicacion + tuberculosis,1,2,0,BO_1974_02338,Causas externas de morbilidad y de mortalidad + Ciertas enfermedades infecciosas y parasitarias
Intox Med,IntoxMed,intoxicacion por medicamentos,3,1,0,"BO_1974_04023,BO_1977_00479,BO_1979_05651",Causas externas de morbilidad y de mortalidad
Intox. Med.,IntoxMed,intoxicacion por medicamentos,1,1,0,BO_1979_00651,Causas externas de morbilidad y de mortalidad
IntoxMed,IntoxMed,intoxicacion por medicamentos,1,1,0,BO_1979_04965,Causas externas de morbilidad y de mortalidad
IntoxMedica,IntoxMed,intoxicacion por medicamentos,1,1,0,BO_1975_04289,Causas externas de morbilidad y de mortalidad
Intox Medicamentosa EPCVG,IntoxMed,intoxicacion por medicamentos,1,2,1,BO_1975_00593,Causas externas de morbilidad y de mortalidad
Intoxicacion medicamento,IntoxMed,intoxicacion por medicamentos,1,1,0,BO_1976_03607,Causas externas de morbilidad y de mortalidad
Legrado+S,Leg+Septi,legrado + septicemia,1,2,0,BO_1978_05591,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Legrado U+,Leg+Utero,legrado + utero,1,2,0,BO_1975_01973,"Embarazo, parto y puerperio"
LOC,LOC,enfermedad organica del corazon,635,1,0,"BO_1974_00120,BO_1974_00227,BO_1974_00294,BO_1974_00295,BO_1974_00465",Enfermedades del sistema circulatorio
LOC+,LOC,enfermedad organica del corazon,19,1,0,"BO_1975_00038,BO_1975_00050,BO_1975_00052,BO_1975_01208,BO_1975_02168",Enfermedades del sistema circulatorio
EOC,LOC,enfermedad organica del corazon,16,1,0,"BO_1974_02551,BO_1974_05135,BO_1977_02795,BO_1978_00253,BO_1978_06082",Enfermedades del sistema circulatorio
LOC+P,LOC,enfermedad organica del corazon,3,2,1,"BO_1974_03305,BO_1975_03080,BO_1976_05253",Enfermedades del sistema circulatorio
IP+LOC,LOC,enfermedad organica del corazon,2,2,1,"BO_1974_05546,BO_1978_00867",Enfermedades del sistema circulatorio
PanH+LOC,LOC,enfermedad organica del corazon,2,2,0,"BO_1978_02179,BO_1978_03668",Enfermedades del sistema circulatorio
TRS+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1979_04725,Enfermedades del sistema circulatorio
OP+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1974_02599,Enfermedades del sistema circulatorio
LOC CardiopRev,LOC,enfermedad organica del corazon,1,3,2,BO_1975_03728,Enfermedades del sistema circulatorio
LOC HEMOPER,LOC,enfermedad organica del corazon,1,2,1,BO_1974_02984,Enfermedades del sistema circulatorio
LOC INFART,LOC,enfermedad organica del corazon,1,2,1,BO_1974_02302,Enfermedades del sistema circulatorio
LOC (Infart),LOC,enfermedad organica del corazon,1,2,1,BO_1974_02020,Enfermedades del sistema circulatorio
LO TROMBOSIS,LOC,enfermedad organica del corazon,1,2,1,BO_1974_04350,Enfermedades del sistema circulatorio
LOC+AVC,LOC,enfermedad organica del corazon,1,2,1,BO_1974_03877,Enfermedades del sistema circulatorio
LOC+Ba,LOC,enfermedad organica del corazon,1,2,1,BO_1977_02605,Enfermedades del sistema circulatorio
LOE,LOC,enfermedad organica del corazon,1,1,0,BO_1974_01125,Enfermedades del sistema circulatorio
LOC Int,LOC,enfermedad organica del corazon,1,2,1,BO_1977_04403,Enfermedades del sistema circulatorio
LOC Int Mit,LOC,enfermedad organica del corazon,1,2,1,BO_1977_03047,Enfermedades del sistema circulatorio
LOC TROM CORONARIA,LOC,enfermedad organica del corazon,1,2,1,BO_1974_03338,Enfermedades del sistema circulatorio
LOC Viceras,LOC,enfermedad organica del corazon,1,2,1,BO_1976_04662,Enfermedades del sistema circulatorio
LOC+CReumaT,LOC,enfermedad organica del corazon,1,3,2,BO_1975_00737,Enfermedades del sistema circulatorio
LOC+hemPer x RupParedVent,LOC,enfermedad organica del corazon,1,3,2,BO_1975_04926,Enfermedades del sistema circulatorio
LOCCHN,LOC,enfermedad organica del corazon,1,2,1,BO_1974_02577,Enfermedades del sistema circulatorio
LOC+LOC,LOC,enfermedad organica del corazon,1,2,0,BO_1978_01996,Enfermedades del sistema circulatorio
LOC+Hemep,LOC,enfermedad organica del corazon,1,2,1,BO_1978_05490,Enfermedades del sistema circulatorio
LOC+I,LOC,enfermedad organica del corazon,1,2,1,BO_1976_04131,Enfermedades del sistema circulatorio
LOC+INS,LOC,enfermedad organica del corazon,1,2,1,BO_1974_02695,Enfermedades del sistema circulatorio
LOC+IP,LOC,enfermedad organica del corazon,1,2,1,BO_1978_01301,Enfermedades del sistema circulatorio
CH CVG+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1975_03765,Enfermedades del sistema circulatorio
CUG+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1974_00094,Enfermedades del sistema circulatorio
CUY+LOC,LOC,enfermedad organica del corazon,1,2,0,BO_1976_05568,Enfermedades del sistema circulatorio
CQ+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1975_03037,Enfermedades del sistema circulatorio
ICnoT+EOC,LOC,enfermedad organica del corazon,1,3,2,BO_1979_06493,Enfermedades del sistema circulatorio
Inf miocario LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1975_05231,Enfermedades del sistema circulatorio
Inf. mioc (LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1976_01162,Enfermedades del sistema circulatorio
EPA+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1975_04975,Enfermedades del sistema circulatorio
EAP+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1978_02813,Enfermedades del sistema circulatorio
HO+LOC,LOC,enfermedad organica del corazon,1,2,1,BO_1978_00611,Enfermedades del sistema circulatorio
N+LOC,LOC+N,enfermedad organica del corazon + neumonia,9,2,0,"BO_1974_02596,BO_1974_02824,BO_1974_03458,BO_1974_04611,BO_1975_01436",Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
N+ LOC,LOC+N,enfermedad organica del corazon + neumonia,1,2,0,BO_1974_04193,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
TM+LOC+N,LOC+N+TM,enfermedad organica del corazon + neumonia + traumatismo multiple,1,3,0,BO_1976_00155,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio + Trauma
LOC+Pancreatitis cron,LOC+Pancrea,enfermedad organica del corazon + pancreatitis,1,3,1,BO_1976_01696,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo
LOC+Pancret,LOC+Pancrea,enfermedad organica del corazon + pancreatitis,1,2,0,BO_1976_05106,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo
LOC+Dia Pancreatitis,LOC+Pancrea,enfermedad organica del corazon + pancreatitis,1,3,1,BO_1975_00566,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo
LOC+PER,LOC+PER,enfermedad organica del corazon + peritonitis o perforacion,1,2,0,BO_1978_01477,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo
PN+LOC,LOC+PN,enfermedad organica del corazon + pleuro pneumonia,15,2,0,"BO_1974_00873,BO_1974_01185,BO_1974_01527,BO_1974_02630,BO_1974_03497",Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
LOC+PN,LOC+PN,enfermedad organica del corazon + pleuro pneumonia,2,2,0,"BO_1975_06229,BO_1979_01314",Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
PNyLOC,LOC+PN,enfermedad organica del corazon + pleuro pneumonia,1,2,0,BO_1976_00007,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
PN+LO,LOC+PN,enfermedad organica del corazon + pleuro pneumonia,1,2,0,BO_1975_01527,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
TMI+PN+LOC,LOC+PN+TMi,enfermedad organica del corazon + pleuro pneumonia + traumatismo miembro,1,3,0,BO_1975_03761,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio + Trauma
TP+LOC+PN,LOC+PN+TP,enfermedad organica del corazon + pleuro pneumonia + traumatismo pelvis,1,3,0,BO_1976_03812,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio + Trauma
Quem+LOC,LOC+Quem,enfermedad organica del corazon + quemaduras,4,2,0,"BO_1977_04707,BO_1978_03927,BO_1978_04659,BO_1979_02672",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
"LOC ""Ruo Art Coronaria""",LOC+Rup,enfermedad organica del corazon + ruptura,1,3,1,BO_1974_01176,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
S+LOC,LOC+Septi,enfermedad organica del corazon + septicemia,2,2,0,"BO_1977_02995,BO_1978_02689",Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema circulatorio
TA+LOC,LOC+TA,enfermedad organica del corazon + traumatismo abdomen,1,2,0,BO_1978_04463,Enfermedades del sistema circulatorio + Trauma
LOS+TB,LOC+TB,enfermedad organica del corazon + tuberculosis,1,2,0,BO_1974_01266,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema circulatorio
LOC+TB,LOC+TB,enfermedad organica del corazon + tuberculosis,1,2,0,BO_1979_00664,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema circulatorio
TB+LOC,LOC+TB,enfermedad organica del corazon + tuberculosis,1,2,0,BO_1975_02557,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema circulatorio
TCE+LOC,LOC+TCE,enfermedad organica del corazon + traumatismo craneo encefalico,6,2,0,"BO_1975_03630,BO_1975_04812,BO_1975_05877,BO_1975_06408,BO_1976_02876",Enfermedades del sistema circulatorio + Trauma
LOC+TM,LOC+TM,enfermedad organica del corazon + traumatismo multiple,1,2,0,BO_1979_01303,Enfermedades del sistema circulatorio + Trauma
TMI+LOC,LOC+TMi,enfermedad organica del corazon + traumatismo miembro,4,2,0,"BO_1974_04230,BO_1977_00034,BO_1977_04641,BO_1978_03395",Enfermedades del sistema circulatorio + Trauma
TP+LOC,LOC+TP,enfermedad organica del corazon + traumatismo pelvis,1,2,0,BO_1975_02303,Enfermedades del sistema circulatorio + Trauma
TT+LOC,LOC+TT,enfermedad organica del corazon + traumatismo torax,1,2,0,BO_1976_01790,Enfermedades del sistema circulatorio + Trauma
Mening,Mening,meningo,3,1,0,"BO_1974_00500,BO_1974_00530,BO_1974_00560",
Meningo,Mening,meningo,1,1,0,BO_1976_02629,
Men+Pancr,Mening+Pancrea,meningo + pancreatitis,1,2,0,BO_1975_03106,Enfermedades del sistema digestivo
PN+Men,Mening+PN,meningo + pleuro pneumonia,1,2,0,BO_1974_01134,Enfermedades del sistema respiratorio
TCE+Men,Mening+TCE,meningo + traumatismo craneo encefalico,2,2,0,"BO_1974_00078,BO_1979_04321",Trauma
TCE+Mening,Mening+TCE,meningo + traumatismo craneo encefalico,1,2,0,BO_1978_02256,Trauma
TCE+Menig,Mening+TCE,meningo + traumatismo craneo encefalico,1,2,0,BO_1974_01217,Trauma
TMS+Mening,Mening+TMiS,meningo + traumatismo miembro superior,1,2,0,BO_1975_04915,Trauma
TCF+Men,Mening+Trau,meningo + traumatismo,1,2,0,BO_1978_03975,Trauma
Meningitis,Meningitis,meningitis,20,1,0,"BO_1974_00772,BO_1974_01581,BO_1975_01093,BO_1976_01272,BO_1976_04170",Enfermedades del sistema nervioso
Meningitis T,Meningitis,meningitis,1,2,1,BO_1974_02364,Enfermedades del sistema nervioso
MENINGITIS,Meningitis,meningitis,1,1,0,BO_1978_00095,Enfermedades del sistema nervioso
MeningitisPCVG,Meningitis,meningitis,1,2,1,BO_1978_05605,Enfermedades del sistema nervioso
Meningitis no T,Meningitis+noT,meningitis + no traumatica,1,2,0,BO_1974_02752,Enfermedades del sistema nervioso
Meningitis Per,Meningitis+PER,meningitis + peritonitis o perforacion,1,2,0,BO_1976_04322,Enfermedades del sistema digestivo + Enfermedades del sistema nervioso
Meningitis Pur.,Meningitis+PER,meningitis + peritonitis o perforacion,1,2,0,BO_1976_02256,Enfermedades del sistema digestivo + Enfermedades del sistema nervioso
TA+MI,MI+TA,miembro + traumatismo abdomen,1,2,0,BO_1975_02365,Trauma
TA+MsIs,MI+TA,miembro + traumatismo abdomen,1,2,0,BO_1976_03236,Trauma
TA y MI,MI+TA,miembro + traumatismo abdomen,1,2,0,BO_1975_01344,Trauma
TAPyMI,MI+TAP,miembro + traumatismo abdomen pelvis,1,2,0,BO_1976_03154,Trauma
TCE y MI,MI+TCE,miembro + traumatismo craneo encefalico,4,2,0,"BO_1977_02120,BO_1978_00630,BO_1978_01391,BO_1978_02147",Trauma
TCE+MsIs,MI+TCE,miembro + traumatismo craneo encefalico,2,2,0,"BO_1975_02925,BO_1975_04071",Trauma
TCE+MI,MI+TCE,miembro + traumatismo craneo encefalico,1,2,0,BO_1978_05312,Trauma
TCE y MsIs,MI+TCE,miembro + traumatismo craneo encefalico,1,2,0,BO_1978_03711,Trauma
TP+MI,MI+TP,miembro + traumatismo pelvis,2,2,0,"BO_1974_02947,BO_1975_04626",Trauma
TP y MI,MI+TP,miembro + traumatismo pelvis,2,2,0,"BO_1975_01467,BO_1978_04019",Trauma
TP+MsIs,MI+TP,miembro + traumatismo pelvis,1,2,0,BO_1975_03978,Trauma
TT y MI,MI+TT,miembro + traumatismo torax,1,2,0,BO_1978_02920,Trauma
TTA+MI,MI+TTA,miembro + traumatismo torax abdomen,1,2,0,BO_1975_03573,Trauma
Tumor de MI,MI+Tum,miembro + tumor,1,2,0,BO_1975_06766,Tumores (neoplasias)
N,N,neumonia,128,1,0,"BO_1974_00103,BO_1974_00270,BO_1974_00320,BO_1974_00427,BO_1974_00984",Enfermedades del sistema respiratorio
NxBroncoasp,N,neumonia,1,2,1,BO_1974_02791,Enfermedades del sistema respiratorio
P N,N,neumonia,1,2,1,BO_1979_00514,Enfermedades del sistema respiratorio
Into+N,N,neumonia,1,2,1,BO_1976_02183,Enfermedades del sistema respiratorio
N+T,N,neumonia,1,2,1,BO_1976_02157,Enfermedades del sistema respiratorio
MAbortivas+N,N,neumonia,1,3,2,BO_1975_05140,Enfermedades del sistema respiratorio
N+Entero,N,neumonia,1,2,1,BO_1975_02810,Enfermedades del sistema respiratorio
N+L,N,neumonia,1,2,1,BO_1977_01399,Enfermedades del sistema respiratorio
N+,N,neumonia,1,1,0,BO_1975_00986,Enfermedades del sistema respiratorio
TCerA+N,N,neumonia,1,2,1,BO_1975_04420,Enfermedades del sistema respiratorio
TMP+N,N,neumonia,1,2,1,BO_1979_05875,Enfermedades del sistema respiratorio
TF+N,N,neumonia,1,2,1,BO_1976_03627,Enfermedades del sistema respiratorio
ANE+N,N,neumonia,1,2,1,BO_1974_05093,Enfermedades del sistema respiratorio
H NE N,N,neumonia,1,3,2,BO_1978_06942,Enfermedades del sistema respiratorio
N+Per+Oclusion Intestinal,N+Oclusion+PER,neumonia + oclusion + peritonitis o perforacion,1,4,1,BO_1976_00157,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
N + Pancreat,N+Pancrea,neumonia + pancreatitis,1,2,0,BO_1979_02859,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
N+Pancreatitis,N+Pancrea,neumonia + pancreatitis,1,2,0,BO_1979_00115,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
TM+N+Per,N+PER+TM,neumonia + peritonitis o perforacion + traumatismo multiple,1,3,0,BO_1975_02262,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio + Trauma
Quem+N,N+Quem,neumonia + quemaduras,13,2,0,"BO_1975_00435,BO_1975_01653,BO_1975_01730,BO_1975_02185,BO_1975_03005",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Quemaduras+N,N+Quem,neumonia + quemaduras,4,2,0,"BO_1974_02071,BO_1974_02160,BO_1974_02276,BO_1975_05808",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Quem + N,N+Quem,neumonia + quemaduras,3,2,0,"BO_1978_00094,BO_1978_00188,BO_1979_02048",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
N+Quemaduras,N+Quem,neumonia + quemaduras,2,2,0,"BO_1974_00749,BO_1974_03916",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
N+Quem,N+Quem,neumonia + quemaduras,1,2,0,BO_1976_03534,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
N+S,N+Septi,neumonia + septicemia,1,2,0,BO_1976_01012,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema respiratorio
TA+N+E,N+TA,neumonia + traumatismo abdomen,1,3,1,BO_1974_02627,Enfermedades del sistema respiratorio + Trauma
TA+N,N+TA,neumonia + traumatismo abdomen,1,2,0,BO_1975_02148,Enfermedades del sistema respiratorio + Trauma
TCA+N,N+TAC,neumonia + traumatismo abdomen craneo,2,2,0,"BO_1975_00454,BO_1979_00791",Enfermedades del sistema respiratorio + Trauma
TAP+N,N+TAP,neumonia + traumatismo abdomen pelvis,1,2,0,BO_1975_02367,Enfermedades del sistema respiratorio + Trauma
N+TB,N+TB,neumonia + tuberculosis,5,2,0,"BO_1974_04559,BO_1974_04972,BO_1975_03795,BO_1976_05386,BO_1977_06044",Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema respiratorio
TCE+N,N+TCE,neumonia + traumatismo craneo encefalico,28,2,0,"BO_1974_00036,BO_1974_00760,BO_1974_01075,BO_1974_01172,BO_1974_01425",Enfermedades del sistema respiratorio + Trauma
N+TCE,N+TCE,neumonia + traumatismo craneo encefalico,1,2,0,BO_1978_02477,Enfermedades del sistema respiratorio + Trauma
TC+N,N+TCer,neumonia + traumatismo cervico,2,2,0,"BO_1974_01551,BO_1974_02755",Enfermedades del sistema respiratorio + Trauma
TC+N+M,N+TCer,neumonia + traumatismo cervico,1,3,1,BO_1974_03060,Enfermedades del sistema respiratorio + Trauma
TCT+N,N+TCT,neumonia + traumatismo craneo torax,6,2,0,"BO_1974_01349,BO_1974_01486,BO_1975_02652,BO_1976_01763,BO_1978_03153",Enfermedades del sistema respiratorio + Trauma
TM+N,N+TM,neumonia + traumatismo multiple,14,2,0,"BO_1974_00598,BO_1974_01279,BO_1974_01393,BO_1974_01938,BO_1974_03383",Enfermedades del sistema respiratorio + Trauma
N+TM,N+TM,neumonia + traumatismo multiple,1,2,0,BO_1978_00276,Enfermedades del sistema respiratorio + Trauma
TMI+N,N+TMi,neumonia + traumatismo miembro,10,2,0,"BO_1974_00824,BO_1974_02967,BO_1974_04036,BO_1974_04182,BO_1975_02407",Enfermedades del sistema respiratorio + Trauma
N+TMI,N+TMi,neumonia + traumatismo miembro,4,2,0,"BO_1974_01642,BO_1974_02828,BO_1975_04280,BO_1979_05234",Enfermedades del sistema respiratorio + Trauma
TMI+n,N+TMi,neumonia + traumatismo miembro,1,2,0,BO_1977_01345,Enfermedades del sistema respiratorio + Trauma
TMsIs+N,N+TMiI,neumonia + traumatismo miembro inferior,1,2,0,BO_1976_04312,Enfermedades del sistema respiratorio + Trauma
TMsItS+N,N+TMiS,neumonia + traumatismo miembro superior,1,3,1,BO_1974_03334,Enfermedades del sistema respiratorio + Trauma
N+TP,N+TP,neumonia + traumatismo pelvis,1,2,0,BO_1974_00985,Enfermedades del sistema respiratorio + Trauma
TT+N,N+TT,neumonia + traumatismo torax,5,2,0,"BO_1974_00685,BO_1976_04005,BO_1977_05334,BO_1977_05620,BO_1977_05695",Enfermedades del sistema respiratorio + Trauma
