Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
6,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),178,1,0,"BO_1980_00022,BO_1980_00053,BO_1980_00074,BO_1980_00288,BO_1980_00409",Cuauhtemoc
26,CUJ-1,Coord Territorial 1 Cuajimalpa (Col Cuajimalpa Centro),169,1,0,"BO_1980_00024,BO_1980_00091,BO_1980_00092,BO_1980_00162,BO_1980_00163",Cuauhtemoc
CH-5,CUH-5,Coord Territorial 5 Cuauhtémoc (Col Santa María La Ribera),167,1,0,"BO_1975_00018,BO_1975_00026,BO_1975_00173,BO_1975_00181,BO_1975_00186",Cuauhtemoc
Coyoacan,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),167,1,0,"BO_1968_00733,BO_1968_00750,BO_1968_00832,BO_1968_00923,BO_1968_00971",Coyoacan
AZ-I,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),167,1,0,"BO_1976_00020,BO_1976_00083,BO_1976_00114,BO_1976_00133,BO_1976_00226",Azcapotzalco
GAM-3,GAM-3,Coord Territorial 3 Gustavo A Madero - Hosp Mag Salinas (Col Magdalena de las Salinas),165,1,0,"BO_1975_00114,BO_1975_00172,BO_1975_00183,BO_1975_00218,BO_1975_00518",Gustavo A Madero
BJ-H20N,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),156,1,0,"BO_1975_00109,BO_1975_00120,BO_1975_00135,BO_1975_00141,BO_1975_00165",Cuauhtemoc
H.T.V.,HV,Hospital la Villa (Col Granjas Modernas),155,1,0,"BO_1968_00857,BO_1968_00859,BO_1968_01089,BO_1968_01105,BO_1968_02173",Gustavo A Madero
VC-I,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),153,1,0,"BO_1976_00034,BO_1976_00035,BO_1976_00081,BO_1976_00097,BO_1976_00230",Venustiano Carranza
IZO-I,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),153,1,0,"BO_1976_00012,BO_1976_00021,BO_1976_00118,BO_1976_00134,BO_1976_00147",Iztacalco
MH-I,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),143,1,0,"BO_1976_00023,BO_1976_00046,BO_1976_00109,BO_1976_00127,BO_1976_00142",Miguel Hidalgo
X-1,XO-1,Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),143,1,0,"BO_1975_00064,BO_1975_00069,BO_1975_00147,BO_1975_00255,BO_1975_00313",Xochimilco
CH-V,CUH-5,Coord Territorial 5 Cuauhtémoc (Col Santa María La Ribera),139,1,0,"BO_1975_00116,BO_1975_00220,BO_1975_00442,BO_1975_00465,BO_1975_00545",Cuauhtemoc
4,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),137,1,0,"BO_1980_00013,BO_1980_00077,BO_1980_00156,BO_1980_00235,BO_1980_00270",Cuauhtemoc
BJ-3,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),135,1,0,"BO_1975_00217,BO_1975_00233,BO_1975_00346,BO_1975_00412,BO_1975_00512",Benito Juarez
TP-I,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),134,1,0,"BO_1976_00080,BO_1976_00113,BO_1976_00130,BO_1976_00136,BO_1976_00186",Tlalpan
28,TLH-2,Coord Territorial 2 Tlahuac (Col Barrio La Asuncion),134,1,0,"BO_1978_03192,BO_1980_00224,BO_1980_00275,BO_1980_00276,BO_1980_00544",Tlahuac
BJ-2,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),131,1,0,"BO_1975_00237,BO_1975_00256,BO_1975_00457,BO_1975_00554,BO_1975_00585",Benito Juarez
1a deleg,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),126,1,0,"BO_1969_00842,BO_1969_00958,BO_1969_01101,BO_1969_01107,BO_1969_01152",Cuauhtemoc
CH-I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),126,1,0,"BO_1976_00154,BO_1976_00177,BO_1976_00199,BO_1976_00220,BO_1976_00222",Cuauhtemoc
29a,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),123,1,0,"BO_1974_00129,BO_1974_00313,BO_1974_00584,BO_1974_00774,BO_1974_00857",Milpa Alta
MH-II,MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil),122,1,0,"BO_1976_00052,BO_1976_00066,BO_1976_00235,BO_1976_00272,BO_1976_00326",Miguel Hidalgo
13A,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),120,1,0,"BO_1968_02165,BO_1970_00802,BO_1970_00803,BO_1970_00819,BO_1970_00820",Gustavo A Madero
CH-2,CUH-2,Coord Territorial 2 Cuauhtémoc (Col Buenavista),116,1,0,"BO_1975_00047,BO_1975_00271,BO_1975_00417,BO_1975_00458,BO_1975_00788",Cuauhtemoc
13a Del.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),112,1,0,"BO_1968_00745,BO_1968_00756,BO_1968_00767,BO_1968_00790,BO_1968_00803",Gustavo A Madero
C.R.,CR,Cruz Roja (Col Polanco),109,1,0,"BO_1968_01005,BO_1968_01070,BO_1968_02203,BO_1968_02230,BO_1968_02249",Miguel Hidalgo
GAM-II,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),106,1,0,"BO_1976_00073,BO_1976_00105,BO_1976_00131,BO_1976_00229,BO_1976_00259",Gustavo A Madero
